x,z,dir_x,dir_z,n1_x,n1_z,n2_x,n2_z,status,kind
7,6,-1,0,-1,0,0,0,placed,straight
8,5,0,-1,0,-1,0,0,placed,straight
7,8,-1,0,-1,0,0,0,placed,straight
7,10,-1,0,-1,0,0,0,placed,straight
7,12,-1,0,-1,0,0,0,placed,straight
7,14,-1,0,-1,0,0,0,placed,straight
7,16,-1,0,-1,0,0,0,placed,straight_variant
7,18,-1,0,-1,0,0,0,placed,straight
7,20,-1,0,-1,0,0,0,placed,straight
8,21,0,1,0,1,0,0,placed,straight
10,5,0,-1,0,-1,0,0,placed,straight_variant
10,21,0,1,0,1,0,0,placed,straight
12,5,0,-1,0,-1,0,0,placed,straight
12,21,0,1,0,1,0,0,placed,straight
14,5,0,-1,0,-1,0,0,placed,straight
14,21,0,1,0,1,0,0,placed,straight
13,34,-1,0,-1,0,0,0,placed,straight
14,33,0,-1,0,-1,0,0,placed,straight
13,36,-1,0,-1,0,0,0,placed,straight
13,38,-1,0,-1,0,0,0,placed,straight_variant
13,40,-1,0,-1,0,0,0,placed,straight
13,42,-1,0,-1,0,0,0,placed,straight
13,44,-1,0,-1,0,0,0,placed,straight
13,46,-1,0,-1,0,0,0,placed,straight
14,47,0,1,0,1,0,0,placed,straight
17,6,1,0,1,0,0,0,placed,straight
16,5,0,-1,0,-1,0,0,placed,straight
17,8,1,0,1,0,0,0,placed,straight
17,10,1,0,1,0,0,0,placed,straight
17,12,1,0,1,0,0,0,placed,straight_variant
17,16,1,0,1,0,0,0,placed,straight
17,18,1,0,1,0,0,0,placed,straight
17,20,1,0,1,0,0,0,placed,straight
16,21,0,1,0,1,0,0,placed,straight
16,33,0,-1,0,-1,0,0,placed,straight
16,47,0,1,0,1,0,0,placed,straight
18,15,0,1,0,1,0,0,placed,straight
18,13,0,-1,0,-1,0,0,placed,straight
18,33,0,-1,0,-1,0,0,placed,straight
18,47,0,1,0,1,0,0,placed,straight
20,15,0,1,0,1,0,0,placed,straight
20,13,0,-1,0,-1,0,0,placed,straight
20,33,0,-1,0,-1,0,0,placed,straight
20,47,0,1,0,1,0,0,placed,straight
22,15,0,1,0,1,0,0,placed,straight
22,13,0,-1,0,-1,0,0,placed,straight
22,33,0,-1,0,-1,0,0,placed,straight
21,48,-1,0,-1,0,0,0,placed,straight_variant
22,49,0,1,0,1,0,0,placed,straight_variant
24,15,0,1,0,1,0,0,placed,straight
24,13,0,-1,0,-1,0,0,placed,straight
24,33,0,-1,0,-1,0,0,placed,straight
24,49,0,1,0,1,0,0,placed,straight
26,15,0,1,0,1,0,0,placed,straight_variant
26,13,0,-1,0,-1,0,0,placed,straight
26,33,0,-1,0,-1,0,0,placed,straight
26,49,0,1,0,1,0,0,placed,straight
28,15,0,1,0,1,0,0,placed,straight
28,13,0,-1,0,-1,0,0,placed,straight_variant
29,34,1,0,1,0,0,0,placed,straight
28,33,0,-1,0,-1,0,0,placed,straight_variant
29,36,1,0,1,0,0,0,placed,straight
29,38,1,0,1,0,0,0,placed,straight
29,40,1,0,1,0,0,0,placed,straight
29,42,1,0,1,0,0,0,placed,straight
29,44,1,0,1,0,0,0,placed,straight
29,46,1,0,1,0,0,0,placed,straight
28,49,0,1,0,1,0,0,placed,straight
30,15,0,1,0,1,0,0,placed,straight
30,13,0,-1,0,-1,0,0,placed,straight
30,49,0,1,0,1,0,0,placed,straight
30,47,0,-1,0,-1,0,0,placed,straight
32,15,0,1,0,1,0,0,placed,straight
32,13,0,-1,0,-1,0,0,placed,straight
32,49,0,1,0,1,0,0,placed,straight
32,47,0,-1,0,-1,0,0,placed,straight
34,15,0,1,0,1,0,0,placed,straight
34,13,0,-1,0,-1,0,0,placed,straight
34,49,0,1,0,1,0,0,placed,straight
34,47,0,-1,0,-1,0,0,placed,straight
36,15,0,1,0,1,0,0,placed,straight
36,13,0,-1,0,-1,0,0,placed,straight
36,49,0,1,0,1,0,0,placed,straight
36,47,0,-1,0,-1,0,0,placed,straight_variant
38,15,0,1,0,1,0,0,placed,straight
38,13,0,-1,0,-1,0,0,placed,straight
38,49,0,1,0,1,0,0,placed,straight
38,47,0,-1,0,-1,0,0,placed,straight
40,15,0,1,0,1,0,0,placed,straight
40,13,0,-1,0,-1,0,0,placed,straight
40,49,0,1,0,1,0,0,placed,straight
40,47,0,-1,0,-1,0,0,placed,straight
42,15,0,1,0,1,0,0,placed,straight
42,13,0,-1,0,-1,0,0,placed,straight
42,49,0,1,0,1,0,0,placed,straight
42,47,0,-1,0,-1,0,0,placed,straight
44,15,0,1,0,1,0,0,placed,straight
44,13,0,-1,0,-1,0,0,placed,straight
44,49,0,1,0,1,0,0,placed,straight
44,47,0,-1,0,-1,0,0,placed,straight
46,15,0,1,0,1,0,0,placed,straight
46,13,0,-1,0,-1,0,0,placed,straight
45,44,-1,0,-1,0,0,0,placed,straight
46,43,0,-1,0,-1,0,0,placed,straight
45,46,-1,0,-1,0,0,0,placed,straight
45,50,-1,0,-1,0,0,0,placed,straight
46,51,0,1,0,1,0,0,placed,straight
48,15,0,1,0,1,0,0,placed,straight_variant
48,13,0,-1,0,-1,0,0,placed,straight
48,43,0,-1,0,-1,0,0,placed,straight
48,51,0,1,0,1,0,0,placed,straight
51,14,1,0,1,0,0,0,placed,straight
50,13,0,-1,0,-1,0,0,placed,straight
51,16,1,0,1,0,0,0,placed,straight
49,16,-1,0,-1,0,0,0,placed,straight
51,18,1,0,1,0,0,0,placed,straight
49,18,-1,0,-1,0,0,0,placed,straight
51,20,1,0,1,0,0,0,placed,straight
49,20,-1,0,-1,0,0,0,placed,straight
51,22,1,0,1,0,0,0,placed,straight
49,22,-1,0,-1,0,0,0,placed,straight
51,24,1,0,1,0,0,0,placed,straight
49,24,-1,0,-1,0,0,0,placed,straight
51,26,1,0,1,0,0,0,placed,straight
49,26,-1,0,-1,0,0,0,placed,straight
51,28,1,0,1,0,0,0,placed,straight
49,28,-1,0,-1,0,0,0,placed,straight
51,30,1,0,1,0,0,0,placed,straight
49,30,-1,0,-1,0,0,0,placed,straight
51,32,1,0,1,0,0,0,placed,straight
49,32,-1,0,-1,0,0,0,placed,straight
51,34,1,0,1,0,0,0,placed,straight
49,34,-1,0,-1,0,0,0,placed,straight
51,36,1,0,1,0,0,0,placed,straight
49,36,-1,0,-1,0,0,0,placed,straight
51,38,1,0,1,0,0,0,placed,straight
49,38,-1,0,-1,0,0,0,placed,straight
51,40,1,0,1,0,0,0,placed,straight
49,40,-1,0,-1,0,0,0,placed,straight
51,42,1,0,1,0,0,0,placed,straight
49,42,-1,0,-1,0,0,0,placed,straight
50,51,0,1,0,1,0,0,placed,straight
52,43,0,-1,0,-1,0,0,placed,straight
52,51,0,1,0,1,0,0,placed,straight
55,44,1,0,1,0,0,0,placed,straight
54,43,0,-1,0,-1,0,0,placed,straight_variant
55,46,1,0,1,0,0,0,placed,straight_variant
55,48,1,0,1,0,0,0,placed,straight
55,50,1,0,1,0,0,0,placed,straight
54,51,0,1,0,1,0,0,placed,straight
